Albania: Tirana
Andora: Andora
Armenia: Erewań
Austria: Wiedeń
Azerbejdżan: Baku
Belgia: Bruksela
Białoruś: Mińsk
Bośnia i Hercegowina: Sarajewo
Bułgaria: Sofia
Chorwacja: Zagrzeb
Cpr: Nikozja
Czechy: Praga
Dania: Kopenhaga
Estonia: Tallin
Finlandia: Helsinki
Francja: Paryż
Grecja: Ateny
Gruzja: Tbilisi
Hiszpania: Madryt
Holandia: Amsterdam
Irlandia: Dublin
Islandja: Rejkiawik
Izrael: Tel Awiw - Jaffa
Jugosławia: Belgrad
Kazachstan: Ałma Ata
Kirgistan: Biszkek
Lichtenstein: Vaduz
Litwa: Wilno
Luksemburg: Luksemburg
Łotwa: Ryga
Macedonia: Skopie
Malta: Valletta
Mołdawia: Kiszyniów
Monako: Monako
Niemcy: Berlin
Norwegia: Oslo
Polska: Warszawa
Portugalia: Lizbona
Rosja: Moskwa
Rumunia: Bukareszt
San Marino: San Marino
Słowacja: Bratysława
Słowenia: Lublana
Szwajcaria: Berno
Szwecja: Sztokholm
Turcja: Ankara
Turmekistan: Aszchabad
Ukraina: Kijów
Uzbekistan: Taszkent
Węgry: Budapeszt
Wielka Brytania: Londyn
Włochy: Rzym
